中文,英文
日期,Date
版次,Rev.
版次说明,Description
建设单位,Client
设计单位,Design Institute
同济大学建筑设计研究院（集团）有限公司,Architectural Design & Research Institute of Tongji University (Group) Co.,Ltd.
同济大学建筑设计研究院,Architectural Design & Research Institute of Tongji University
项目名称,Project Name
工程编号,Project No.
子项名称,Sub-Project
项目编号,Project No.
子项编号,Sub-Project No.
职  责,Responsibility
姓  名,Name
签  字,Signature
日  期,Date
审  定,Approved by
审  核,Reviewed by
校  对,Checked by
设计总负责人,Principal in Charge
专业负责人,Discipline Responsible
设  计,Designed by
绘  图,Drawn by
图纸名称,Sheet Title
专  业,Discipline
阶  段,Stage
图  号,Sheet No.
版  次,Rev.
执业签章,Registration Stamp
出图签章,Release Stamp
本图须加盖出图签章;否则一律无效,Invalid Unless Stamped
建筑负责人,Architect in Charge
工程设计图纸,Engineering Design Drawings
图号,Dwg. No.
图名,Dwg. Name
建筑面积,Building Area
工程项目,Project
＃楼,# Bldg.
方新维,Fang Xinwei
汤艳丽,Tang Yanli
陈剑秋,Chen Jianqiu
周建峰,Zhou Jianfeng
何磊,He Lei
潘涛,Pan Tao
（一）,(1)
（二）,(2)
（三）,(3)
建总,Arch. Gen.
地块回迁房项目,Plot Resettlement Project
住宅楼,Residential Building
首层平面图,Ground Floor Plan
标准层平面图,Typical Floor Plan
地下一层平面图,Basement 1 Plan
屋顶平面图,Roof Plan
轴立面图,Axis Elevation
剖面图,Section
电梯间详图,Elevator Detail
户型平面详图,Unit Plan Detail
墙身详图,Wall Detail
门窗表及门窗详图,Door/Window Schedule & Detail
建筑设计说明,Architectural Design Notes
总平面图,General Plan
节能设计专篇,Energy Efficiency Design
建筑专业图纸目录,Architectural Drawing List
专业图纸目录,Drawing List
更改及作废记录,Revision & Obsolete Record
西红门,Xihongmen
安徽黄山元一柏庄投资发展有限公司,Anhui Huangshan Yuanyi Baizhuang Investment Development Co., Ltd.
黄山元一大观希尔顿度假酒店,Huangshan Yuanyidaguan Hilton Resort Hotel
希尔顿度假酒店,Hilton Resort Hotel
屋顶层平面图,Roof Plan
施工图出图,Construction Issue
施工图,Construction Drawing
建 筑,Architecture
结 构,Structure
暖 通,HVAC
给排水,Plumbing
弱 电,ELV
强 电,Power Supply
动 力,Power
会 签,Countersign
天窗,Skylight
穿女儿墙水落口,Roof Drain Through Parapet
预埋水落口,Embedded Roof Drain
